"","ensembl_gene_id","external_gene_name","btaurus_homolog_ensembl_gene","sscrofa_homolog_ensembl_gene","mmusculus_homolog_ensembl_gene","hsapiens_homolog_ensembl_gene"
"36","ENSOARG00000001060","KDR","ENSBTAG00000000782","ENSSSCG00000008844","ENSMUSG00000062960","ENSG00000128052"
"37","ENSOARG00000001160","ARAP3","ENSBTAG00000015938","ENSSSCG00000014391","ENSMUSG00000024451","ENSG00000120318"
"38","ENSOARG00000001254","TNXB","ENSBTAG00000001444","ENSSSCG00000023611","ENSMUSG00000033327","ENSG00000168477"
"39","ENSOARG00000001300","XYLB","ENSBTAG00000011278","ENSSSCG00000011254","ENSMUSG00000035769","ENSG00000093217"
"40","ENSOARG00000001308","PCDH1","ENSBTAG00000012518","ENSSSCG00000022289","ENSMUSG00000051375","ENSG00000156453"
"41","ENSOARG00000001374","HCRTR1","ENSBTAG00000010366","ENSSSCG00000003601","ENSMUSG00000028778","ENSG00000121764"
"42","ENSOARG00000001395","TINAGL1","ENSBTAG00000013235","ENSSSCG00000003600","ENSMUSG00000028776","ENSG00000142910"
"43","ENSOARG00000001456","GFPT2","ENSBTAG00000002215","ENSSSCG00000014012","ENSMUSG00000020363","ENSG00000131459"
"44","ENSOARG00000001511","STAT3","ENSBTAG00000021523","ENSSSCG00000017403","ENSMUSG00000004040","ENSG00000168610"
"45","ENSOARG00000001525","RPS6KL1","ENSBTAG00000006688","ENSSSCG00000002375","ENSMUSG00000019235","ENSG00000198208"
"46","ENSOARG00000001543","","ENSBTAG00000038698","","",""
"47","ENSOARG00000001544","RIPK1","ENSBTAG00000006378","ENSSSCG00000001009","ENSMUSG00000021408","ENSG00000137275"
"48","ENSOARG00000001554","FBLN2","ENSBTAG00000004014","ENSSSCG00000027634","ENSMUSG00000064080","ENSG00000163520"
"49","ENSOARG00000001554","FBLN2","ENSBTAG00000004014","ENSSSCG00000011609","ENSMUSG00000064080","ENSG00000163520"
"50","ENSOARG00000001587","","","","",""
"51","ENSOARG00000001673","","ENSBTAG00000005340","ENSSSCG00000013373","ENSMUSG00000030839","ENSG00000129158"
"52","ENSOARG00000001783","FOS","ENSBTAG00000004322","ENSSSCG00000002383","ENSMUSG00000021250","ENSG00000170345"
"53","ENSOARG00000001827","SLC25A29","ENSBTAG00000013666","ENSSSCG00000002520","ENSMUSG00000021265","ENSG00000197119"
"54","ENSOARG00000001849","CDH5","ENSBTAG00000007421","","ENSMUSG00000031871","ENSG00000179776"
"55","ENSOARG00000001968","MFAP5","ENSBTAG00000000310","ENSSSCG00000000666","ENSMUSG00000030116","ENSG00000197614"
"56","ENSOARG00000001985","OLFM1","ENSBTAG00000038584","ENSSSCG00000029715","ENSMUSG00000026833","ENSG00000130558"
"57","ENSOARG00000002035","WARS","ENSBTAG00000004679","ENSSSCG00000002516","ENSMUSG00000021266","ENSG00000140105"
"58","ENSOARG00000002079","SOX13","ENSBTAG00000008132","ENSSSCG00000015277","ENSMUSG00000070643","ENSG00000143842"
"59","ENSOARG00000002145","DYNC1LI2","ENSBTAG00000000458","ENSSSCG00000030184","ENSMUSG00000035770","ENSG00000135720"
"60","ENSOARG00000002211","SERPINB9","ENSBTAG00000031267","ENSSSCG00000030663","ENSMUSG00000057726","ENSG00000170542"
"61","ENSOARG00000002211","SERPINB9","ENSBTAG00000031267","ENSSSCG00000030663","ENSMUSG00000045827","ENSG00000170542"
"62","ENSOARG00000002211","SERPINB9","ENSBTAG00000031267","ENSSSCG00000030663","ENSMUSG00000062342","ENSG00000170542"
"63","ENSOARG00000002211","SERPINB9","ENSBTAG00000031267","ENSSSCG00000030663","ENSMUSG00000038327","ENSG00000170542"
"64","ENSOARG00000002307","DLK1","ENSBTAG00000037899","ENSSSCG00000028773","ENSMUSG00000040856","ENSG00000185559"
"65","ENSOARG00000002307","DLK1","ENSBTAG00000037899","ENSSSCG00000027337","ENSMUSG00000040856","ENSG00000185559"
"66","ENSOARG00000002402","","","ENSSSCG00000009247","ENSMUSG00000095365",""
"67","ENSOARG00000002489","PREX2","ENSBTAG00000022169","ENSSSCG00000006199","ENSMUSG00000048960","ENSG00000046889"
"68","ENSOARG00000002539","MYRIP","ENSBTAG00000009430","ENSSSCG00000011269","ENSMUSG00000041794","ENSG00000170011"
"69","ENSOARG00000002559","","","ENSSSCG00000012502","",""
"70","ENSOARG00000002564","CCM2L","ENSBTAG00000031453","ENSSSCG00000027821","ENSMUSG00000027474","ENSG00000101331"
"71","ENSOARG00000002674","SHE","ENSBTAG00000020542","ENSSSCG00000006547","ENSMUSG00000046280","ENSG00000169291"
"72","ENSOARG00000002688","ANK1","ENSBTAG00000003275","ENSSSCG00000007022","ENSMUSG00000031543","ENSG00000029534"
"73","ENSOARG00000002724","","ENSBTAG00000031866","","",""
"74","ENSOARG00000002746","LDHAL6B","","ENSSSCG00000028888","ENSMUSG00000101959","ENSG00000171989"
"75","ENSOARG00000002778","","","","",""
"76","ENSOARG00000002815","PACS1","ENSBTAG00000009026","ENSSSCG00000012956","ENSMUSG00000024855","ENSG00000175115"
"77","ENSOARG00000002844","GRIA4","ENSBTAG00000006176","ENSSSCG00000030565","ENSMUSG00000025892","ENSG00000152578"
"78","ENSOARG00000002887","SLC45A4","ENSBTAG00000008597","ENSSSCG00000005930","ENSMUSG00000079020","ENSG00000022567"
"79","ENSOARG00000002898","LRP11","ENSBTAG00000032007","ENSSSCG00000004101","ENSMUSG00000019796","ENSG00000120256"
"80","ENSOARG00000002924","CCND3","ENSBTAG00000010106","ENSSSCG00000026752","ENSMUSG00000034165","ENSG00000112576"
"81","ENSOARG00000003030","","","","",""
"82","ENSOARG00000003121","WIF1","ENSBTAG00000014758","ENSSSCG00000030998","ENSMUSG00000020218","ENSG00000156076"
"83","ENSOARG00000003213","C4orf32","ENSBTAG00000017375","","ENSMUSG00000050549","ENSG00000174749"
"84","ENSOARG00000003221","TBC1D30","ENSBTAG00000011352","ENSSSCG00000023788","ENSMUSG00000052302","ENSG00000111490"
"85","ENSOARG00000003319","F8","ENSBTAG00000010726","ENSSSCG00000012818","ENSMUSG00000031196","ENSG00000185010"
"86","ENSOARG00000003365","FGR","ENSBTAG00000011784","ENSSSCG00000003578","ENSMUSG00000028874","ENSG00000000938"
"87","ENSOARG00000003401","KCNK1","ENSBTAG00000004515","ENSSSCG00000010163","ENSMUSG00000033998","ENSG00000135750"
"88","ENSOARG00000003449","GPR149","ENSBTAG00000006147","ENSSSCG00000023582","ENSMUSG00000043441","ENSG00000174948"
"89","ENSOARG00000003452","RAMP2","ENSBTAG00000019903","ENSSSCG00000017389","ENSMUSG00000001240","ENSG00000131477"
"90","ENSOARG00000003492","CALM2","ENSBTAG00000001575","","","ENSG00000143933"
"91","ENSOARG00000003517","STAB1","ENSBTAG00000014782","ENSSSCG00000011443","ENSMUSG00000042286","ENSG00000010327"
"92","ENSOARG00000003601","NQO1","ENSBTAG00000020632","ENSSSCG00000002754","ENSMUSG00000003849","ENSG00000181019"
"93","ENSOARG00000003647","EFNA1","ENSBTAG00000020244","ENSSSCG00000006530","ENSMUSG00000027954","ENSG00000169242"
"94","ENSOARG00000003701","MBNL1","ENSBTAG00000004564","ENSSSCG00000011720","ENSMUSG00000027763","ENSG00000152601"
"95","ENSOARG00000003722","KANK3","ENSBTAG00000002469","ENSSSCG00000013598","ENSMUSG00000042099","ENSG00000186994"
"96","ENSOARG00000003729","JAKMIP2","ENSBTAG00000003349","ENSSSCG00000014420","ENSMUSG00000024502","ENSG00000176049"
"97","ENSOARG00000003778","EGFL7","ENSBTAG00000030278","ENSSSCG00000005828","ENSMUSG00000026921","ENSG00000172889"
"98","ENSOARG00000003820","","ENSBTAG00000022799","","ENSMUSG00000026923","ENSG00000148400"
"99","ENSOARG00000003828","ARHGAP24","ENSBTAG00000003959","ENSSSCG00000009229","ENSMUSG00000057315","ENSG00000138639"
"100","ENSOARG00000003856","","ENSBTAG00000004035","ENSSSCG00000007574","ENSMUSG00000039683","ENSG00000146555"
"101","ENSOARG00000003867","CYP11A1","ENSBTAG00000006934","ENSSSCG00000025273","ENSMUSG00000032323","ENSG00000140459"
"102","ENSOARG00000003895","MYCT1","ENSBTAG00000043975","ENSSSCG00000004080","ENSMUSG00000046916","ENSG00000120279"
"103","ENSOARG00000003963","DUSP1","ENSBTAG00000013863","ENSSSCG00000016991","ENSMUSG00000024190","ENSG00000120129"
"104","ENSOARG00000004049","MFSD4","ENSBTAG00000004952","ENSSSCG00000021487","ENSMUSG00000059149","ENSG00000174514"
"105","ENSOARG00000004145","TSPAN33","ENSBTAG00000007253","ENSSSCG00000016570","ENSMUSG00000001763","ENSG00000158457"
"106","ENSOARG00000004190","CHAC2","ENSBTAG00000019459","ENSSSCG00000008416","ENSMUSG00000020309","ENSG00000143942"
"107","ENSOARG00000004211","NUDT19","ENSBTAG00000023614","ENSSSCG00000002861","ENSMUSG00000034875","ENSG00000213965"
"108","ENSOARG00000004239","CPEB4","ENSBTAG00000009995","ENSSSCG00000016981","ENSMUSG00000020300","ENSG00000113742"
"109","ENSOARG00000004247","","ENSBTAG00000025126","","",""
"110","ENSOARG00000004299","GATA2","ENSBTAG00000019707","ENSSSCG00000011618","ENSMUSG00000015053","ENSG00000179348"
"111","ENSOARG00000004394","FAM169A","ENSBTAG00000016002","ENSSSCG00000014076","ENSMUSG00000041817","ENSG00000198780"
"112","ENSOARG00000004438","","ENSBTAG00000010347","ENSSSCG00000004058","ENSMUSG00000052397","ENSG00000092820"
"113","ENSOARG00000004454","CXorf36","ENSBTAG00000020717","ENSSSCG00000026984","ENSMUSG00000037358","ENSG00000147113"
"114","ENSOARG00000004493","FNDC1","ENSBTAG00000003938","ENSSSCG00000004052","ENSMUSG00000071984","ENSG00000164694"
"115","ENSOARG00000004611","","ENSBTAG00000038080","ENSSSCG00000001979","",""
"116","ENSOARG00000004611","","ENSBTAG00000038080","ENSSSCG00000026750","",""
"117","ENSOARG00000004611","","ENSBTAG00000013055","ENSSSCG00000001979","",""
"118","ENSOARG00000004611","","ENSBTAG00000013055","ENSSSCG00000026750","",""
"119","ENSOARG00000004611","","ENSBTAG00000039813","ENSSSCG00000001979","",""
"120","ENSOARG00000004611","","ENSBTAG00000039813","ENSSSCG00000026750","",""
"121","ENSOARG00000004758","ENC1","ENSBTAG00000026369","ENSSSCG00000014072","ENSMUSG00000041773","ENSG00000171617"
"122","ENSOARG00000004829","","","","",""
"123","ENSOARG00000004881","TM4SF1","ENSBTAG00000015163","ENSSSCG00000011702","ENSMUSG00000027800","ENSG00000169908"
"124","ENSOARG00000004915","TM4SF18","ENSBTAG00000019960","ENSSSCG00000011701","","ENSG00000163762"
"125","ENSOARG00000004915","TM4SF18","ENSBTAG00000019960","ENSSSCG00000029232","","ENSG00000163762"
"126","ENSOARG00000004942","KCNT1","ENSBTAG00000018975","ENSSSCG00000005762","ENSMUSG00000058740","ENSG00000107147"
"127","ENSOARG00000004944","","ENSBTAG00000026133","","ENSMUSG00000071322",""
"128","ENSOARG00000004944","","ENSBTAG00000026133","","ENSMUSG00000052469",""
"129","ENSOARG00000004944","","ENSBTAG00000026133","","ENSMUSG00000055602",""
"130","ENSOARG00000004969","SLPI","ENSBTAG00000004148","ENSSSCG00000022913","","ENSG00000124107"
"131","ENSOARG00000005014","ABLIM3","ENSBTAG00000004896","ENSSSCG00000014430","ENSMUSG00000032735","ENSG00000173210"
"132","ENSOARG00000005098","ST3GAL2","ENSBTAG00000046156","ENSSSCG00000025089","ENSMUSG00000031749","ENSG00000157350"
"133","ENSOARG00000005106","COL28A1","ENSBTAG00000024420","ENSSSCG00000015342","ENSMUSG00000068794","ENSG00000215018"
"134","ENSOARG00000005149","KCNIP4","ENSBTAG00000047743","ENSSSCG00000023934","ENSMUSG00000029088","ENSG00000185774"
"135","ENSOARG00000005169","CD93","ENSBTAG00000004207","ENSSSCG00000007116","ENSMUSG00000027435","ENSG00000125810"
"136","ENSOARG00000005228","ABAT","ENSBTAG00000004038","ENSSSCG00000007909","ENSMUSG00000057880","ENSG00000183044"
"137","ENSOARG00000005230","STOX1","ENSBTAG00000019028","ENSSSCG00000010245","ENSMUSG00000036923","ENSG00000165730"
"138","ENSOARG00000005238","ENO2","ENSBTAG00000011274","ENSSSCG00000028373","ENSMUSG00000004267","ENSG00000111674"
"139","ENSOARG00000005247","KIAA0040","","ENSSSCG00000030387","ENSMUSG00000090394","ENSG00000235750"
"140","ENSOARG00000005263","PLEKHA7","ENSBTAG00000006974","ENSSSCG00000013382","ENSMUSG00000045659","ENSG00000166689"
"141","ENSOARG00000005318","ZNF382","ENSBTAG00000008084","ENSSSCG00000002933","ENSMUSG00000074220","ENSG00000161298"
"142","ENSOARG00000005367","FAM110D","ENSBTAG00000013131","ENSSSCG00000023042","ENSMUSG00000050105","ENSG00000197245"
"143","ENSOARG00000005448","EFNB2","ENSBTAG00000016991","ENSSSCG00000009535","ENSMUSG00000001300","ENSG00000125266"
"144","ENSOARG00000005462","AFMID","ENSBTAG00000007125","","ENSMUSG00000017718","ENSG00000183077"
"145","ENSOARG00000005471","MEX3A","ENSBTAG00000019158","ENSSSCG00000006497","ENSMUSG00000074480","ENSG00000254726"
"146","ENSOARG00000005484","FAM155A","ENSBTAG00000025220","ENSSSCG00000009537","ENSMUSG00000079157","ENSG00000204442"
"147","ENSOARG00000005503","SBSPON","ENSBTAG00000017249","ENSSSCG00000006183","ENSMUSG00000032719","ENSG00000164764"
"148","ENSOARG00000005513","PLSCR5","ENSBTAG00000005522","ENSSSCG00000011691","ENSMUSG00000095654","ENSG00000231213"
"149","ENSOARG00000005526","MCFD2","ENSBTAG00000003358","ENSSSCG00000021325","ENSMUSG00000024150","ENSG00000180398"
"150","ENSOARG00000005655","MMP28","ENSBTAG00000006086","","ENSMUSG00000020682","ENSG00000271447"
"151","ENSOARG00000005699","","ENSBTAG00000021705","ENSSSCG00000006363","ENSMUSG00000062963","ENSG00000143222"
"152","ENSOARG00000005709","COBLL1","ENSBTAG00000005501","","ENSMUSG00000034903","ENSG00000082438"
"153","ENSOARG00000005722","EPAS1","ENSBTAG00000003711","ENSSSCG00000008443","ENSMUSG00000024140","ENSG00000116016"
"154","ENSOARG00000005766","GPR146","ENSBTAG00000046014","ENSSSCG00000007551","ENSMUSG00000044197","ENSG00000164849"
"155","ENSOARG00000005783","MAPRE2","ENSBTAG00000007520","ENSSSCG00000003738","ENSMUSG00000024277","ENSG00000166974"
"156","ENSOARG00000005812","H2AFY2","ENSBTAG00000001163","ENSSSCG00000027976","ENSMUSG00000020086","ENSG00000099284"
"157","ENSOARG00000005821","PMAIP1","","ENSSSCG00000026454","ENSMUSG00000024521","ENSG00000141682"
"158","ENSOARG00000005888","PAPPA","ENSBTAG00000004010","ENSSSCG00000005498","ENSMUSG00000028370","ENSG00000182752"
"159","ENSOARG00000005916","CHRNE","ENSBTAG00000004908","ENSSSCG00000026586","ENSMUSG00000014609","ENSG00000108556"
"160","ENSOARG00000005916","CHRNE","ENSBTAG00000004908","ENSSSCG00000017909","ENSMUSG00000014609","ENSG00000108556"
"161","ENSOARG00000006002","MAGEE2","ENSBTAG00000025062","ENSSSCG00000024234","ENSMUSG00000031224","ENSG00000186675"
"162","ENSOARG00000006033","FAM198B","ENSBTAG00000017069","ENSSSCG00000008873","ENSMUSG00000027955","ENSG00000164125"
"163","ENSOARG00000006041","TNRC6C","ENSBTAG00000018658","ENSSSCG00000027734","ENSMUSG00000025571","ENSG00000078687"
"164","ENSOARG00000006043","LRRC20","ENSBTAG00000005666","ENSSSCG00000010267","ENSMUSG00000037151","ENSG00000172731"
"165","ENSOARG00000006068","ZFP36","ENSBTAG00000008573","ENSSSCG00000010708","ENSMUSG00000044786","ENSG00000128016"
"166","ENSOARG00000006068","ZFP36","ENSBTAG00000008573","ENSSSCG00000028056","ENSMUSG00000044786","ENSG00000128016"
"167","ENSOARG00000006085","","ENSBTAG00000010452","ENSSSCG00000016548","ENSMUSG00000025608","ENSG00000128567"
"168","ENSOARG00000006087","","ENSBTAG00000017328","ENSSSCG00000025317","",""
"169","ENSOARG00000006087","","ENSBTAG00000026119","ENSSSCG00000025317","",""
"170","ENSOARG00000006146","","ENSBTAG00000032687","ENSSSCG00000029289","ENSMUSG00000027445","ENSG00000101435"
"171","ENSOARG00000006146","","ENSBTAG00000032687","ENSSSCG00000029289","ENSMUSG00000027445","ENSG00000173335"
"172","ENSOARG00000006175","PHOSPHO1","ENSBTAG00000000033","ENSSSCG00000026701","ENSMUSG00000050860","ENSG00000173868"
"173","ENSOARG00000006211","ABI3","ENSBTAG00000000032","ENSSSCG00000027677","ENSMUSG00000018381","ENSG00000108798"
"174","ENSOARG00000006275","GNGT2","ENSBTAG00000047325","","ENSMUSG00000038811","ENSG00000167083"
"175","ENSOARG00000006407","EPHA5","ENSBTAG00000009438","ENSSSCG00000008919","ENSMUSG00000029245","ENSG00000145242"
"176","ENSOARG00000006447","JPH1","ENSBTAG00000008842","ENSSSCG00000006174","ENSMUSG00000042686","ENSG00000104369"
"177","ENSOARG00000006517","PDE3B","ENSBTAG00000005218","ENSSSCG00000013388","ENSMUSG00000030671","ENSG00000152270"
"178","ENSOARG00000006517","PDE3B","ENSBTAG00000005218","ENSSSCG00000021819","ENSMUSG00000030671","ENSG00000152270"
"179","ENSOARG00000006521","RAPGEF1","ENSBTAG00000020791","ENSSSCG00000005719","ENSMUSG00000039844","ENSG00000107263"
"180","ENSOARG00000006569","SENP6","ENSBTAG00000005869","ENSSSCG00000020702","ENSMUSG00000034252","ENSG00000112701"
"181","ENSOARG00000006577","LRRC71","ENSBTAG00000012348","ENSSSCG00000006462","ENSMUSG00000023084","ENSG00000160838"
"182","ENSOARG00000006586","PDGFC","ENSBTAG00000043959","ENSSSCG00000024960","ENSMUSG00000028019","ENSG00000145431"
"183","ENSOARG00000006675","TDRD9","ENSBTAG00000020402","ENSSSCG00000002552","ENSMUSG00000054003","ENSG00000156414"
"184","ENSOARG00000006714","P2RY6","ENSBTAG00000038737","ENSSSCG00000014823","ENSMUSG00000048779","ENSG00000171631"
"185","ENSOARG00000006737","KCNE3","ENSBTAG00000011873","ENSSSCG00000029323","ENSMUSG00000035165","ENSG00000175538"
"186","ENSOARG00000006756","NMNAT1","ENSBTAG00000001361","ENSSSCG00000003400","ENSMUSG00000028992","ENSG00000173614"
"187","ENSOARG00000006756","NMNAT1","ENSBTAG00000001361","ENSSSCG00000020669","ENSMUSG00000028992","ENSG00000173614"
"188","ENSOARG00000006822","PLXNB3","ENSBTAG00000010146","ENSSSCG00000012780","ENSMUSG00000031385","ENSG00000198753"
"189","ENSOARG00000006901","THSD7A","ENSBTAG00000007680","ENSSSCG00000015350","ENSMUSG00000032625","ENSG00000005108"
"190","ENSOARG00000006911","","ENSBTAG00000025219","","ENSMUSG00000018986","ENSG00000205045"
"191","ENSOARG00000006911","","ENSBTAG00000025219","","ENSMUSG00000078763","ENSG00000205045"
"192","ENSOARG00000006911","","ENSBTAG00000025219","","ENSMUSG00000072620","ENSG00000205045"
"193","ENSOARG00000006911","","ENSBTAG00000025219","","ENSMUSG00000000204","ENSG00000205045"
"194","ENSOARG00000006911","","ENSBTAG00000025219","","ENSMUSG00000018986","ENSG00000172123"
"195","ENSOARG00000006911","","ENSBTAG00000025219","","ENSMUSG00000078763","ENSG00000172123"
"196","ENSOARG00000006911","","ENSBTAG00000025219","","ENSMUSG00000072620","ENSG00000172123"
"197","ENSOARG00000006911","","ENSBTAG00000025219","","ENSMUSG00000000204","ENSG00000172123"
"198","ENSOARG00000006979","RHBDF2","ENSBTAG00000003436","ENSSSCG00000023362","ENSMUSG00000020806","ENSG00000129667"
"199","ENSOARG00000006993","RASSF7","ENSBTAG00000045834","ENSSSCG00000012854","ENSMUSG00000038618","ENSG00000099849"
"200","ENSOARG00000006999","","","ENSSSCG00000020695","ENSMUSG00000084897",""
"201","ENSOARG00000006999","","","ENSSSCG00000029149","ENSMUSG00000084897",""
"202","ENSOARG00000006999","","","ENSSSCG00000025394","ENSMUSG00000084897",""
"203","ENSOARG00000006999","","","ENSSSCG00000023038","ENSMUSG00000084897",""
"204","ENSOARG00000006999","","","ENSSSCG00000023088","ENSMUSG00000084897",""
"205","ENSOARG00000006999","","","ENSSSCG00000021965","ENSMUSG00000084897",""
"206","ENSOARG00000006999","","","ENSSSCG00000030198","ENSMUSG00000084897",""
"207","ENSOARG00000006999","","","ENSSSCG00000008886","ENSMUSG00000084897",""
"208","ENSOARG00000006999","","","ENSSSCG00000029683","ENSMUSG00000084897",""
"209","ENSOARG00000006999","","","ENSSSCG00000025631","ENSMUSG00000084897",""
"210","ENSOARG00000006999","","","ENSSSCG00000021572","ENSMUSG00000084897",""
"211","ENSOARG00000006999","","","ENSSSCG00000020695","ENSMUSG00000090486",""
"212","ENSOARG00000006999","","","ENSSSCG00000029149","ENSMUSG00000090486",""
"213","ENSOARG00000006999","","","ENSSSCG00000025394","ENSMUSG00000090486",""
"214","ENSOARG00000006999","","","ENSSSCG00000023038","ENSMUSG00000090486",""
"215","ENSOARG00000006999","","","ENSSSCG00000023088","ENSMUSG00000090486",""
"216","ENSOARG00000006999","","","ENSSSCG00000021965","ENSMUSG00000090486",""
"217","ENSOARG00000006999","","","ENSSSCG00000030198","ENSMUSG00000090486",""
"218","ENSOARG00000006999","","","ENSSSCG00000008886","ENSMUSG00000090486",""
"219","ENSOARG00000006999","","","ENSSSCG00000029683","ENSMUSG00000090486",""
"220","ENSOARG00000006999","","","ENSSSCG00000025631","ENSMUSG00000090486",""
"221","ENSOARG00000006999","","","ENSSSCG00000021572","ENSMUSG00000090486",""
"222","ENSOARG00000007029","SPOCK2","ENSBTAG00000008827","ENSSSCG00000023180","ENSMUSG00000058297","ENSG00000107742"
"223","ENSOARG00000007029","SPOCK2","ENSBTAG00000008827","ENSSSCG00000010283","ENSMUSG00000058297","ENSG00000107742"
"224","ENSOARG00000007044","","ENSBTAG00000007736","ENSSSCG00000005954","ENSMUSG00000015001","ENSG00000253117"
"225","ENSOARG00000007044","","ENSBTAG00000007736","ENSSSCG00000029568","ENSMUSG00000015001","ENSG00000253117"
"226","ENSOARG00000007044","","ENSBTAG00000007736","ENSSSCG00000005954","ENSMUSG00000015001","ENSG00000258417"
"227","ENSOARG00000007044","","ENSBTAG00000007736","ENSSSCG00000029568","ENSMUSG00000015001","ENSG00000258417"
"228","ENSOARG00000007200","FAM180B","","ENSSSCG00000013230","","ENSG00000196666"
"229","ENSOARG00000007244","ACOT11","ENSBTAG00000039686","","ENSMUSG00000034853","ENSG00000162390"
"230","ENSOARG00000007252","CD1D","ENSBTAG00000024960","ENSSSCG00000006452","ENSMUSG00000028076","ENSG00000158473"
"231","ENSOARG00000007252","CD1D","ENSBTAG00000024960","ENSSSCG00000006452","ENSMUSG00000041750","ENSG00000158473"
"232","ENSOARG00000007252","CD1D","ENSBTAG00000047776","ENSSSCG00000006452","ENSMUSG00000028076","ENSG00000158473"
"233","ENSOARG00000007252","CD1D","ENSBTAG00000047776","ENSSSCG00000006452","ENSMUSG00000041750","ENSG00000158473"
"234","ENSOARG00000007252","CD1D","ENSBTAG00000047988","ENSSSCG00000006452","ENSMUSG00000028076","ENSG00000158473"
